12.5,1750,86
12.5,2000,86
12.5,2250,86
12.5,2500,86
12.5,2750,86
12.5,3000,86
25,750,86
25,1000,87
25,1250,87
25,1500,88
25,1750,88
25,2000,88
25,2250,88
25,2500,88
25,2750,88
25,3000,88
25,3250,88
25,3500,88
25,3750,87
25,4000,86
37.5,500,86
37.5,750,87
37.5,1000,88
37.5,1250,89
37.5,1500,90
37.5,1750,90
37.5,2000,90
37.5,2250,90
37.5,2500,90
37.5,2750,90
37.5,3000,90
37.5,3250,90
37.5,3500,90
37.5,3750,90
37.5,4000,89
37.5,4250,88
37.5,4500,86
50,500,87
50,750,88
50,1000,90
50,1250,91
50,1500,92
50,1750,93
50,2000,93
50,2250,93
50,2500,93
50,2750,93
50,3000,93
50,3250,93
50,3500,93
50,3750,93
50,4000,92
50,4250,90
50,4500,88
50,4750,86
62.5,500,87
62.5,750,89
62.5,1000,92
62.5,1250,94
62.5,1500,94
62.5,1750,94
62.5,2000,94
62.5,2250,95
62.5,2500,95
62.5,2750,95
62.5,3000,94
62.5,3250,94
62.5,3500,94
62.5,3750,94
62.5,4000,94
62.5,4250,94
62.5,4500,92
62.5,4750,89
62.5,5000,86
75,500,88
75,750,90
75,1000,93
75,1250,94
75,1500,94
75,1750,94
75,2000,95
75,2250,96
75,2500,96
75,2750,96
75,3000,96
75,3250,95
75,3500,95
75,3750,94
75,4000,94
75,4250,94
75,4500,94
75,4750,92
75,5000,89
75,5250,86
87.5,500,88
87.5,750,91
87.5,1000,93
87.5,1250,94
87.5,1500,94
87.5,1750,95
87.5,2000,96
87.5,2250,96
87.5,2500,96
87.5,2750,96
87.5,3000,96
87.5,3250,96
87.5,3500,96
87.5,3750,95
87.5,4000,95
87.5,4250,94
87.5,4500,94
87.5,4750,94
87.5,5000,92
87.5,5250,88
87.5,5500,86
100,500,88
100,750,91
100,1000,93
100,1250,94
100,1500,95
100,1750,96
100,2000,96
100,2250,96
100,2500,96
100,2750,96
100,3000,96
100,3250,96
100,3500,96
100,3750,96
100,4000,95
100,4250,95
100,4500,94
100,4750,94
100,5000,94
100,5250,90
100,5500,86
112.5,500,88
112.5,750,91
112.5,1000,93
112.5,1250,94
112.5,1500,95
112.5,1750,96
112.5,2000,96
112.5,2250,96
112.5,2500,96
112.5,2750,96
112.5,3000,96
112.5,3250,96
112.5,3500,96
112.5,3750,96
112.5,4000,95
112.5,4250,95
112.5,4500,95
112.5,4750,94
112.5,5000,94
112.5,5250,92
112.5,5500,88
125,500,88
125,750,91
125,1000,93
125,1250,94
125,1500,95
125,1750,96
125,2000,96
125,2250,96
125,2500,96
125,2750,96
125,3000,96
125,3250,95
125,3500,95
125,3750,95
125,4000,95
125,4250,95
125,4500,95
125,4750,95
125,5000,94
125,5250,94
125,5500,90
137.5,500,87
137.5,750,90
137.5,1000,93
137.5,1250,94
137.5,1500,95
137.5,1750,95
137.5,2000,95
137.5,2250,95
137.5,2500,95
137.5,2750,95
137.5,3000,95
137.5,3250,95
137.5,3500,95
137.5,3750,95
137.5,4000,95
137.5,4250,95
137.5,4500,95
137.5,4750,94
137.5,5000,94
137.5,5250,94
137.5,5500,92
150,500,87
150,750,89
150,1000,92
150,1250,94
150,1500,95
150,1750,95
150,2000,95
150,2250,95
150,2500,95
150,2750,95
150,3000,95
150,3250,95
150,3500,95
150,3750,95
150,4000,95
150,4250,95
150,4500,95
150,4750,94
150,5000,94
150,5250,94
150,5500,94
162.5,500,86
162.5,750,88
162.5,1000,92
162.5,1250,94
162.5,1500,94
162.5,1750,95
162.5,2000,95
162.5,2250,95
162.5,2500,95
162.5,2750,95
162.5,3000,95
162.5,3250,95
162.5,3500,95
162.5,3750,95
162.5,4000,94
162.5,4250,94
162.5,4500,94
162.5,4750,94
162.5,5000,94
162.5,5250,94
162.5,5500,94
175,500,86
175,750,88
175,1000,91
175,1250,93
175,1500,94
175,1750,94
175,2000,94
175,2250,94
175,2500,94
175,2750,94
175,3000,94
175,3250,94
175,3500,94
175,3750,94
175,4000,94
175,4250,94
175,4500,94
175,4750,94
175,5000,94
175,5250,94
175,5500,94
187.5,750,88
187.5,1000,90
187.5,1250,92
187.5,1500,94
187.5,1750,94
187.5,2000,94
187.5,2250,94
187.5,2500,94
187.5,2750,94
187.5,3000,94
187.5,3250,94
187.5,3500,94
187.5,3750,94
187.5,4000,94
187.5,4250,94
187.5,4500,94
187.5,4750,94
187.5,5000,94
187.5,5250,94
187.5,5500,94
200,750,87
200,1000,89
200,1250,91
200,1500,92
200,1750,93
200,2000,94
200,2250,94
200,2500,94
200,2750,94
200,3000,94
200,3250,94
200,3500,94
200,3750,94
200,4000,94
200,4250,94
200,4500,94
200,4750,94
200,5000,94
200,5250,94
200,5500,94
212.5,750,86
212.5,1000,88
212.5,1250,91
212.5,1500,92
212.5,1750,92
212.5,2000,92
212.5,2250,92
212.5,2500,92
212.5,2750,92
212.5,3000,92
212.5,3250,92
212.5,3500,92
212.5,3750,92
212.5,4000,92
212.5,4250,92
212.5,4500,92
212.5,4750,92
212.5,5000,92
212.5,5250,92
212.5,5500,92
225,1000,88
225,1250,90
225,1500,91
225,1750,91
225,2000,91
225,2250,91
225,2500,91
225,2750,91
225,3000,91
225,3250,91
225,3500,91
225,3750,91
225,4000,91
225,4250,91
225,4500,91
225,4750,91
225,5000,91
225,5250,91
225,5500,91
237.5,1000,86
237.5,1250,88
237.5,1500,89
237.5,1750,89
237.5,2000,89
237.5,2250,89
237.5,2500,89
237.5,2750,89
237.5,3000,89
237.5,3250,89
237.5,3500,89
237.5,3750,89
237.5,4000,89
237.5,4250,89
237.5,4500,89
237.5,4750,89
237.5,5000,89
237.5,5250,89
237.5,5500,89